Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
Macrophage FCN3,LEC_FCN3,Endothelial_cell,9039,0.056975329,Lymphatic Endothelial Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6140,0.060749186,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1927,0.074208614,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,1066,0.067542214,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1489,0.065144392,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1911,0.090528519,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2187,0.047096479,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4959,0.070578746,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2755,0.079854809,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_INFG,CD8,1786,0.073908175,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,7110,0.066385373,Macrophage LST1_high Liver
T Cell GZMK,TRM_HSPA1A,CD8,2729,0.033711982,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1722,0.055749129,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2019,0.052005944,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8058,0.038967486,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2711,0.07303578,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1949,0.040020523,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,1165,0.030042918,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_MT1E,CD8,1971,0.044647387,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,1677,0.036970781,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TEM_INFG,CD8,1534,0.043024772,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2499,0.083233293,Monocyte Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,4694,0.037068598,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1067,0.05529522,Monocyte Liver
T Cell GZMK,TEM_GIMAP4,CD8,1092,0.081501832,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1332,0.087837838,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,8379,0.160997732,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6143,0.085300342,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3712,0.059806034,Macrophage LST1_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,8466,0.040987479,High Proliferation CD8 T Cell Liver
T Cell XCL1,TRM_MT1E,CD4,1377,0.058823529,T Cell MT1E_high Liver
T Cell XCL1,TRM_TNF,CD4,2423,0.04085844,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1262,0.06022187,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,2472,0.037216828,NK/T Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1796,0.066815145,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5853,0.028019819,Lymphatic Endothelial Cell Liver
T Cell GZMK,NA,NA,2056,0.053501946,T GD Cell Liver
NK/T Cell GNLY,NA,NA,4244,0.037464656,NK/T Cell Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1474,0.094301221,NK/T Cell Liver
T Cell GZMK,TEFF_GNLY,CD8,1581,0.074636306,CD8 T Cell GZMK_high Liver
T Cell GZMK,Th1_NKG7,CD4,2036,0.027504912,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2633,0.048233954,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7864,0.056841302,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8737,0.04349319,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6962,0.039500144,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2195,0.053302961,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1038,0.061657033,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,1975,0.062278481,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1867,0.070166042,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1566,0.051085568,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,5043,0.042633353,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3352,0.040871122,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1087,0.045078197,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9225,0.07197832,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7235,0.067449896,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2061,0.075206211,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1942,0.038105046,CD8 T Cell GZMK_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1553,0.083065035,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1180,0.041525424,Monocyte Liver
Monocyte,Intermediate_Mon_FN1,Myeloid,1631,0.167995095,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,8715,0.037062536,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,13339,0.026688657,Endothelial Cell SELE_high Liver
Macrophage FCN3,BEC_CA4,Endothelial_cell,5800,0.034137931,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,NA,NA,1905,0.05984252,T GD Cell Liver
Macrophage FCN3,BEC_CA4,Endothelial_cell,10451,0.069754091,Lymphatic Endothelial Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2664,0.059684685,Macrophage LST1_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1966,0.041200407,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3669,0.07686018,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1588,0.08186398,Monocyte Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,4703,0.093344674,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1973,0.045108971,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3211,0.061663033,Macrophage C1QB_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,2734,0.005120702,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2602,0.06187548,Macrophage LST1_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,2031,0.038897095,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6285,0.043436754,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1141,0.043821209,Monocyte Liver
T Cell IL7R,TN/CM_LEF1,CD8,2902,0.045830462,T Cell LTB_high Liver
T Cell XCL1,TRM_H2AFZ,CD8,2299,0.028708134,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1990,0.093969849,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4189,0.022201003,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1975,0.054683544,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5197,0.068116221,Macrophage LST1_high Liver
T Cell IL7R,TRM_TNF,CD4,2779,0.033465275,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3759,0.090449588,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,9878,0.02956064,Lymphatic Endothelial Cell Liver
T Cell IL7R,TCM_KLF2,CD4,1489,0.030893217,T Cell LTB_high Liver
T Cell GZMK,NA,NA,1739,0.058654399,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3621,0.060204363,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5037,0.038912051,Macrophage C1QB_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,6700,0.171641791,Hepatic Oval Cell Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1821,0.063701263,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1935,0.048578811,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3487,0.041583023,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1915,0.059007833,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4842,0.05803387,Monocyte Liver
T Cell XCL1,TRM_TYMS,CD8,1674,0.123655914,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,1272,0.085691824,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,1311,0.054919908,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1737,0.081750144,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,1365,0.073992674,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1165,0.046351931,Monocyte Liver
Plasma Cell JCHAIN,Plasma_IGHG1,B_and_plasma,11775,0.017070064,B Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3647,0.073759254,Monocyte Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2204,0.038566243,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1668,0.040767386,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2961,0.065180682,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2151,0.044630404,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,2175,0.04091954,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1637,0.058032987,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7558,0.021831172,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1224,0.091503268,Monocyte Liver
T Cell GZMK,NA,NA,4805,0.032466181,T Cell LTB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2087,0.022041207,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2734,0.07644477,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1236,0.025080906,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1471,0.060503059,CD8 T Cell GZMK_high Liver
T Cell IL7R,TRM_TNF,CD4,3020,0.040397351,T Cell LTB_high Liver
T Cell XCL1,TRM_TYMS,CD8,2736,0.080774854,High Proliferation CD8 T Cell Liver
T Cell GZMK,NA,NA,2792,0.073782235,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6594,0.045950864,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6570,0.050684932,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,2381,0.015119698,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3425,0.044671533,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,1442,0.124133148,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2804,0.061697575,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3768,0.0514862,Macrophage C1QB_high Liver
T Cell XCL1,BEC_APOC1,Endothelial_cell,7540,0.244429708,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,7528,0.033873539,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3050,0.050491803,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3819,0.051846033,Monocyte Liver
T Cell GZMK,TEM_GIMAP4,CD8,2074,0.067502411,CD8 T Cell GZMK_high Liver
T Cell GZMK,TRM_TYMS,CD8,6165,0.031143552,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2628,0.085616438,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,4370,0.067963387,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,7043,0.039045861,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7594,0.071372136,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1952,0.035860656,NK/T Cell Liver
Macrophage C1QB,Mac_APOE,Myeloid,3563,0.089811956,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3845,0.068920676,Macrophage LST1_high Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,2136,0.06835206,Endothelial Cell SLC9A3R2_high Liver
NK/T Cell GNLY,Th1_NKG7,CD4,1523,0.066973079,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1870,0.047593583,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,2265,0.054304636,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4943,0.089621687,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1838,0.069640914,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4305,0.08524971,Lymphatic Endothelial Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,6897,0.054371466,Hepatic Oval Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3259,0.069039583,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1238,0.088045234,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1033,0.070667957,Monocyte Liver
T Cell GZMK,NA,NA,3516,0.033276451,T GD Cell Liver
NK/T Cell GNLY,NA,NA,2562,0.06518345,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3553,0.070644526,Monocyte Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,2208,0.032608696,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2349,0.037037037,CD8 T Cell TRBV4-2_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1625,0.105846154,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2908,0.057083906,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2121,0.062706271,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,1107,0.04968383,T Cell LTB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2515,0.046520875,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3655,0.057729138,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2752,0.0625,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4124,0.057468477,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1304,0.09892638,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6506,0.038426068,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,5294,0.05383453,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1272,0.062106918,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,NA,NA,2767,0.060354174,T GD Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1830,0.093989071,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2819,0.064916637,Monocyte Liver
T Cell GZMK,TRM_TYMS,CD8,1935,0.054780362,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5301,0.066968497,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2447,0.071107479,Monocyte Liver
Endothelial Cell ACKR1,LEC_CCL21,Endothelial_cell,1904,0.043592437,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,NA,NA,1928,0.080912863,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4056,0.083333333,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1892,0.098308668,NK/T Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,5806,0.016017913,Endothelial Cell SELE_high Liver
T Cell GZMK,NA,NA,2305,0.041214751,CD8 T Cell GZMK_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,2566,0.106780982,Smooth Muscle Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7437,0.035094796,Macrophage C1QB_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2048,0.184570313,Hepatic Oval Cell Liver
T Cell GZMK,TEM_GZMK,CD8,2353,0.038674033,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8251,0.059992728,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1114,0.081687612,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4016,0.050796813,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2713,0.077036491,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2015,0.054590571,Macrophage C1QB_high Liver
T Cell XCL1,TEM_INFG,CD8,1487,0.100201748,CD8 T Cell GZMK_high Liver
T Cell IL7R,TN/CM_ITGB1,CD4,2047,0.038593063,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1468,0.03746594,NK/T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5386,0.058299294,Macrophage LST1_high Liver
T Cell GZMK,TRM_TYMS,CD8,5224,0.060298622,High Proliferation CD8 T Cell Liver
NK/T Cell GNLY,NA,NA,1723,0.036564132,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3713,0.050632911,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5909,0.058047047,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1895,0.033773087,CD8 T Cell TRBV4-2_high Liver
Monocyte,Mac_SDC3,Myeloid,1950,0.092820513,Macrophage LST1_high Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1866,0.049839228,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1786,0.078387458,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1930,0.086528497,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2515,0.03777336,T GD Cell Liver
T Cell IL7R,TRM_TNF,CD4,1462,0.073187415,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2789,0.049121549,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1640,0.049390244,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4107,0.070367665,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2060,0.033495146,T Cell LTB_high Liver
T Cell GZMK,NA,NA,4067,0.045488075,T GD Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2132,0.031894934,CD8 T Cell TRBV4-2_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,1922,0.05723205,Smooth Muscle Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2339,0.083368961,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,11575,0.042159827,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9303,0.049553907,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,3124,0.044814341,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3775,0.051125828,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3195,0.043192488,Monocyte Liver
T Cell GZMK,Th1_NKG7,CD4,2024,0.053359684,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1656,0.040458937,Monocyte Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,2498,0.160928743,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1000,0.055,Monocyte Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2917,0.061707233,CD8 T Cell TRBV4-2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4560,0.056359649,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3754,0.147575919,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1348,0.046735905,Monocyte Liver
T Cell GZMK,NA,NA,3245,0.026194145,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1671,0.111310592,Lymphatic Endothelial Cell Liver
T Cell XCL1,TRM_LMNA,CD4,1130,0.089380531,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1428,0.06302521,NK/T Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3898,0.035402771,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2184,0.086080586,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,2740,0.03540146,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1461,0.078028747,CD8 T Cell TRBV4-2_high Liver
Monocyte,Mac_SDC3,Myeloid,5050,0.078217822,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1570,0.059235669,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1715,0.09212828,Monocyte Liver
T Cell XCL1,TN/CM_GADD45B,CD8,1574,0.048919949,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,2163,0.060101711,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1407,0.056147832,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,7116,0.063097246,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5478,0.050383352,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9052,0.096221829,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2035,0.108599509,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6182,0.0617923,Macrophage LST1_high Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1421,0.02885292,NK/T Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1248,0.104967949,Monocyte Liver
T Cell IL7R,TEM_GZMK,CD4,2036,0.031434185,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7523,0.053436129,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2264,0.035335689000000003,T Cell LTB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2315,0.058315335,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1224,0.149509804,Monocyte Liver
T Cell IL7R,TN/CM_LEF1,CD8,2071,0.046837277,T Cell LTB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1188,0.06986532,B Cell Liver
T Cell IL7R,TRM_H2AFZ,CD8,1999,0.022511256,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1204,0.052325581,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7363,0.075105256,Macrophage C1QB_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,3777,0.111464125,Smooth Muscle Cell Liver
T Cell GZMK,TEM_INFG,CD8,1235,0.058299595,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1126,0.086145648,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4252,0.041627469,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2635,0.056925996,Macrophage C1QB_high Liver
T Cell GZMK,TRM_TYMS,CD8,3326,0.044798557,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2924,0.141586867,Macrophage C1QB_high Liver
T Cell XCL1,TRM_TNF,CD4,1448,0.037983425,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2191,0.079872204,Macrophage LST1_high Liver
Melanocyte,NA,NA,1336,0.040419162,T Cell MT1E_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5326,0.07791964,Macrophage LST1_high Liver
T Cell GZMK,TEM_GZMK,CD8,1395,0.055913978,T GD Cell Liver
NK/T Cell GNLY,NA,NA,2135,0.031850117,NK/T Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,9746,0.190642315,Hepatic Oval Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9276,0.0487279,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1731,0.043905257,CD8 T Cell GZMK_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1556,0.021208226,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_INFG,CD8,1514,0.067371202,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4552,0.064147627,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3192,0.085213033,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_GZMK,CD8,1593,0.052730697,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1621,0.046267736,CD8 T Cell GZMK_high Liver
T Cell IL7R,TRM_TNF,CD4,3733,0.025984463,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,2033,0.027545499,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1337,0.136125654,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5110,0.052837573,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GZMK,CD8,1740,0.045977011,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2242,0.05352364,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1735,0.073198847,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1091,0.077910174,Monocyte Liver
T Cell GZMK,NA,NA,2178,0.061983471,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,1684,0.05760095,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,2743,0.079839592,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1041,0.052833814,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1091,0.140238313,Monocyte Liver
T Cell XCL1,MAIT_SLC4A10,CD8,3118,0.054842848,T Cell LTB_high Liver
