age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69transcript,CD25transcript,Cd44transcript,Cd62ltranscript,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
11.5,2,OK,pass,OK,0,0.48,1.72,2.64,Plate 3 B3,Plate 3 B3,NP68,6,0.2730350722401947,8.42,2.22,7.61,4.27,-38.224917287402114,-2.1804178907950993,-1.7953041880481913,-8.09373082252073,-4.0142062575367605,-1.0970832962246444
11.5,2,OK,pass,OK,0,1.04,1.41,3.32,Plate 3 B4,Plate 3 B4,NP68,6,0.11706013388598538,8.77,0,0,4.73,-42.93229774465751,0.4298485645122398,0.3682516241079872,-9.02191086381093,-4.572266516163698,-0.6796956319065597
11.5,2,OK,pass,OK,0,1.23,0.6,3.11,Plate 3 B5,Plate 3 B5,NP68,6,0.2466092679542276,8.75,0,0,4.41,-39.690448347859274,-1.389625988111679,0.12369554418483067,-8.633772324977798,-4.248288978710524,-0.814558293268254
11.5,2,OK,pass,OK,2.51,2.02,1.15,3.24,Plate 3 B6,Plate 3 B6,NP68,6,0.4651780468751974,7.36,7.88,0,9.44,-8.622824630442786,-9.760109561433396,-2.272907025010744,-2.5652945787847403,-1.5747839779404318,-0.5570937651844527
11.5,2,OK,pass,OK,0.3,0.95,1.23,3.14,Plate 3 B7,Plate 3 B7,NP68,6,0.2919512393634829,4.64,0,2.15,2.97,-39.25967662453475,-5.788448251659287,1.941786290594059,-8.65310279687015,-4.514479246809832,-0.4233227032871749
11.5,2,OK,pass,OK,0,1.08,0.7,3.25,Plate 3 B8,Plate 3 B8,NP68,6,0.4864215249750276,9.04,0,0,3.21,-40.716178291622874,-3.5537294077912387,1.7559727437642028,-8.142079639473831,-4.179930762275807,-0.3190100449772384
11.5,2,OK,pass,OK,0,1.3,0,3.32,Plate 3 B9,Plate 3 B9,NP68,6,0.4172065748858571,9.71,0,0,3.7,-34.76494422621766,-6.535171778040615,2.2939062265743515,-9.150565719085956,-4.399745148494593,-0.4128513592930343
11.5,2,OK,pass,OK,1.3,1.18,1.15,3.37,Plate 3 B10,Plate 3 B10,NP68,6,0.27540748614263855,7.45,2.21,3.05,3.96,-35.643705229323864,-4.429037319066204,-0.969649019593954,-8.846204421437498,-4.491491165831438,-1.1012279051991012
11.5,2,OK,pass,OK,0,1.4,0.6,3.43,Plate 3 B11,Plate 3 B11,NP68,6,0.432095050726099,8.77,0,0,3.9,-42.121332466799764,-5.711955848121906,1.7243846700718453,-8.371130667382033,-4.337416869476191,-0.4758900660725143
11.5,2,OK,pass,OK,2.71,2.34,1,2.15,Plate 3 C1,Plate 3 C1,N4,6,0.5462415355988168,0,7.94,1.5,3.34,34.39466644638042,-9.695127266959616,-2.267146462830817,10.619439804936862,5.606021943614134,0.10186073596758582
