age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,1.15,0.48,1.65,3.4,Plate 4 E7,Plate 4 E7, NP68,6,0.8167508439885008,9.33,0,1.15,2.56
25,1,OK,pass,OK,1.68,0.6,0.48,3.07,Plate 4 E8,Plate 4 E8, NP68,6,1.2645056305877656,8.44,0.84,0,8.12
25,1,OK,pass,OK,2.23,1.15,1.3,3.65,Plate 4 E9,Plate 4 E9, NP68,6,3.1437641412194473,8.54,2.61,0,10.26
25,1,OK,pass,OK,0.6,0.48,1.2,3.34,Plate 4 E10,Plate 4 E10, NP68,6,1.6640859820311307,7.98,0,0.68,1.77
25,1,OK,pass,OK,0.95,0.48,0.78,3.2,Plate 4 E11,Plate 4 E11, NP68,6,3.1062204656986436,6.73,0,0,1.38
25,1,OK,pass,OK,1.04,0.3,1.3,3.67,Plate 4 F1,Plate 4 F1, NP68,6,0.28429276254532754,9.46,2.18,0,3.01
25,1,OK,pass,OK,0,0.48,1.59,3.46,Plate 4 F2,Plate 4 F2, NP68,6,0.6067020077704139,8.05,1.41,0,2.57
25,1,OK,pass,OK,0.7,0.7,0,3.43,Plate 4 F3,Plate 4 F3, NP68,6,0.4775723309130602,8.87,0,1.63,1.63
25,1,OK,pass,OK,2.28,0.6,0.48,3.26,Plate 4 F4,Plate 4 F4, NP68,6,0.48210066467361845,9.21,0,2.36,3.51
25,1,OK,pass,OK,0.95,0.6,1.04,3.51,Plate 4 F5,Plate 4 F5, NP68,6,1.4788978785702125,7.53,0.75,0,0
25,1,OK,pass,OK,0,0,1.08,3.02,Plate 4 F6,Plate 4 F6, NP68,6,0.472453148823186,6.68,1.64,0,0
25,1,OK,pass,OK,0.48,0.48,1.23,3.55,Plate 4 F7,Plate 4 F7, NP68,6,1.1394171758912286,7.9,1.46,0,0
25,1,OK,pass,OK,2.12,1.04,2.67,1.3,Plate 4 F8,Plate 4 F8, NP68,6,2.8958694398770137,0,0,7.43,1.45
25,1,OK,pass,OK,0,0.48,1.43,3.39,Plate 4 F9,Plate 4 F9, NP68,6,1.9392138300331772,9.22,0.6,0,3.04
25,1,OK,pass,OK,1.3,1.41,1.85,3.38,Plate 4 F10,Plate 4 F10, NP68,6,3.8067816622710673,7.91,3.27,0,5.02
25,1,OK,pass,OK,1.56,0.7,1.73,3.58,Plate 4 F11,Plate 4 F11, NP68,6,1.5282449897995631,9.82,0,0,7.14
